ID,Name,Team,Nationality,Age,Salary £,Value,Net value
138,J. Roy,KKR,England,32,274400.0,572961.6000000001,298561.6000000001
139,L. Das,KKR,Bangladesh,29,49000.0,345183.93000000005,296183.93000000005
140,N. Jagadeesan,KKR,India,27,88200.0,221572.26,133372.26
141,R. Gurbaz,KKR,Afghanistan,21,49000.0,227822.22,178822.22
142,A. Roy,KKR,India,24,19600.0,372267.09,352667.09
143,A. Russell,KKR,West Indies,35,1176000.0,356988.87,-819011.13
144,V. Iyer,KKR,India,28,784000.0,461850.66000000003,-322149.33999999997
145,S. Narine,KKR,West Indies,35,588000.0,-130511.25000000001,-718511.25
146,D. Wiese,KKR,Namibia,38,98000.0,293795.10000000003,195795.10000000003
147,U. Yadav,KKR,India,35,196000.0,-75649.95000000001,-271649.95
148,T. Southee,KKR,New Zealand,34,147000.0,341017.29000000004,194017.29000000004
149,H. Rana,KKR,India,21,19600.0,388239.48000000004,368639.48000000004
150,K. Khejroliya,KKR,India,31,19600.0,381989.52,362389.52
151,L. Ferguson,KKR,New Zealand,31,980000.0,252822.06000000003,-727177.94
152,S. Thakur,KKR,India,31,1053500.0,88238.97,-965261.03
153,V. Arora,KKR,India,25,58800.0,412545.15,353745.15
154,V. Chakravarthy,KKR,India,31,784000.0,335183.7105,-448816.2895
155,S. Sharma,KKR,India,20,19600.0,291016.80000000005,271416.80000000005
156,S. Iyer,KKR,India,28,1225000.0,335183.7105,-889816.2895
157,S. Hasan,KKR,Bangladesh,36,147000.0,335183.7105,188183.7105
158,S. Dhawan,PBKS,India,37,808500.0,717406.4700000001,-91093.52999999991
159,S. Khan,PBKS,India,28,882000.0,302735.77875,-579264.22125
160,B. Rajapaksa,PBKS,Sri Lanka,31,49000.0,302735.77875,253735.77875
161,M. Short,PBKS,Australia,27,19600.0,231294.69,211694.69
162,H. Bhatia,PBKS,India,31,39200.0,302735.77875,263535.77875
163,S. Singh,PBKS,India,26,19600.0,302735.77875,283135.77875
164,J. Bairstow,PBKS,England,33,661500.0,302735.77875,-358764.22125
165,J. Sharma,PBKS,India,29,19600.0,295878.42000000004,276278.42000000004
166,P. Singh,PBKS,India,22,58800.0,349350.57,290550.57
167,A. Taide,PBKS,India,23,19600.0,459072.36000000004,439472.36000000004
168,S. Raza,PBKS,Zimbabwe,37,49000.0,337544.82,288544.82
169,R. Dhawan,PBKS,India,33,53900.0,303516.72000000003,249616.72000000003
170,L. Livingstone,PBKS,England,29,1127000.0,390322.80000000005,-736677.2
171,S. Curran,PBKS,England,24,1813000.0,-23566.95,-1836566.95
172,M. Rathee,PBKS,India,24,19600.0,332684.01,313084.01
173,R. Bawa,PBKS,India,20,196000.0,302735.77875,106735.77875
174,N. Ellis,PBKS,Australia,28,73500.0,318099.96,244599.96000000002
175,K. Rabada,PBKS,South Africa,28,906500.0,253517.04,-652982.96
176,A. Singh,PBKS,India,24,392000.0,373656.24000000005,-18343.75999999995
177,B. Singh,PBKS,India,32,19600.0,302735.77875,283135.77875
178,V. Kaverappa,PBKS,India,24,19600.0,302735.77875,283135.77875
179,G. Brar,PBKS,India,23,19600.0,306295.02,286695.02
180,H. Brar,PBKS,India,27,372400.0,334072.35000000003,-38327.649999999965
181,R. Chahar,PBKS,India,23,514500.0,-135372.06,-649872.06
182,R. Patel,DC,India,27,19600.0,454905.72000000003,435305.72000000003
183,D. Warner,DC,Australia,36,612500.0,802128.42,189628.42000000004
184,M. Pandey,DC,India,33,235200.0,262544.49,27344.48999999999
185,R. Rossouw,DC,South Africa,33,450800.0,448655.76,-2144.2399999999907
186,R. Powell,DC,West Indies,29,274400.0,247267.08000000002,-27132.919999999984
187,P. Shaw,DC,India,23,735000.0,196572.42,-538427.58
188,Y. Dhull,DC,India,20,49000.0,241711.29,192711.29
189,A. Porel,DC,India,20,19479.0,217405.62000000002,197926.62000000002
190,P. Salt,DC,England,26,196000.0,404211.87000000005,208211.87000000005
191,R. Pant,DC,India,25,1568000.0,325455.09136363637,-1242544.9086363637
192,S. Khan,DC,India,25,19600.0,266016.96,246416.96000000002
193,A. Khan,DC,India,26,19600.0,140321.97,120721.97
194,M. Marsh,DC,Australia,31,588000.0,590323.14,2323.140000000014
195,A. Patel,DC,India,29,882000.0,357683.85000000003,-524316.1499999999
196,L. Yadav,DC,India,26,63700.0,85461.48000000001,21761.48000000001
197,I. Sharma,DC,India,34,49000.0,584767.3500000001,535767.3500000001
198,M. Kumar,DC,India,29,539000.0,178516.71000000002,-360483.29
199,A. Nortje,DC,South Africa,29,637000.0,158377.68000000002,-478622.31999999995
200,M. Rahman,DC,Bangladesh,27,196000.0,277127.73000000004,81127.73000000004
201,L. Ngidi,DC,South Africa,27,49000.0,325455.09136363637,276455.09136363637
202,K. Ahmed,DC,India,25,514500.0,300739.23000000004,-213760.76999999996
203,C. Sakariya,DC,India,25,411600.0,343100.61000000004,-68499.38999999996
204,K. Nagarkoti,DC,India,23,98000.0,325455.09136363637,227455.09136363637
205,P. Dubey,DC,India,29,49000.0,396572.76,347572.76
206,K. Yadav,DC,India,28,196000.0,205599.87000000002,9599.870000000024
207,V. Ostwal,DC,India,20,19600.0,325455.09136363637,305855.09136363637
208,A. Markram,SRH,South Africa,28,254800.0,174350.07,-80449.93
209,M. Agarwal,SRH,India,32,808500.0,399350.25,-409149.75
210,R. Tripathi,SRH,India,32,833000.0,274350.24,-558649.76
211,H. Brook,SRH,England,24,1298500.0,269489.43,-1029010.5700000001
212,S. Vyas,SRH,India,27,19600.0,343415.95772727265,323815.95772727265
