ID,No.,Name,Team,Nationality,Age,Batting style,Bowling style,Salary,Notes
141,21,Rahmanullah Gurbaz,KKR,Afghanistan,21,Right-handed,Right-arm medium fast,49000.0,Overseas
142,6,Anukul Roy,KKR,India,24,Left-handed,Slow left-arm orthodox spin,19600.0,
143,12,Andre Russell,KKR,West Indies,35,Right-handed,Right-arm fast-medium,1176000.0,Overseas
144,25,Venkatesh Iyer,KKR,India,28,Left-handed,Right-arm medium,784000.0,
145,74,Sunil Narine,KKR,West Indies,35,Left-handed,Right-arm off break,588000.0,Overseas
146,—,David Wiese,KKR,Namibia,38,Right-handed,Right-arm fast medium,98000.0,Overseas
147,19,Umesh Yadav,KKR,India,35,Right-handed,Right-arm fast,196000.0,
148,38,Tim Southee,KKR,New Zealand,34,Right-handed,Right-arm medium fast,147000.0,Overseas
149,22,Harshit Rana,KKR,India,21,Right-handed,Right-arm fast medium,19600.0,
150,136,Kulwant Khejroliya,KKR,India,31,Left-handed,Left-arm fast medium,19600.0,
151,69,Lockie Ferguson,KKR,New Zealand,31,Right-handed,Right-arm fast,980000.0,Overseas
152,54,Shardul Thakur,KKR,India,31,Right-handed,Right-arm fast medium,1053500.0,
153,—,Vaibhav Arora,KKR,India,25,Right-handed,Right-arm fast medium,58800.0,
154,29,Varun Chakravarthy,KKR,India,31,Right-handed,Right-arm leg break,784000.0,
155,5,Suyash Sharma,KKR,India,20,Right-handed,Right-arm leg break,19600.0,
156,41,Shreyas Iyer,KKR,India,28,Right-handed,Right-arm leg break,1225000.0,[a]
157,—,Shakib Al Hasan,KKR,Bangladesh,36,Left-handed,Left-arm off break,147000.0,
158,42,Shikhar Dhawan,PBKS,India,37,Left-handed,Right-arm off break,808500.0,Captain
159,35,Shahrukh Khan,PBKS,India,28,Right-handed,Right-arm off break,882000.0,
160,54,Bhanuka Rajapaksa,PBKS,Sri Lanka,31,Left-handed,Right-arm medium,49000.0,Overseas
161,20,Matthew Short,PBKS,Australia,27,Right-handed,Right-arm off spin,19600.0,Overseas (replacement for Jonny Bairstow)
