ID,No.,Name,Team,Nationality,Age,Batting style,Bowling style,Salary £,Notes
197,29,I. Sharma,DC,India,34,Right-Handed,Right-arm fast-medium,49000.0,
198,49,M. Kumar,DC,India,29,Right-Handed,Right-arm medium,539000.0,
199,02,A. Nortje,DC,South Africa,29,Right-handed,Right-arm fast,637000.0,Overseas
200,90,M. Rahman,DC,Bangladesh,27,Left-handed,Left-arm fast-medium,196000.0,Overseas
201,,L. Ngidi,DC,South Africa,27,Right-handed,Right-arm fast-medium,49000.0,Overseas
202,71,K. Ahmed,DC,India,25,Right-handed,Left-arm medium,514500.0,
203,55,C. Sakariya,DC,India,25,Left-handed,Left-arm medium-fast,411600.0,
204,5,K. Nagarkoti,DC,India,23,Right-Handed,Right-arm fast,98000.0,
205,46,P. Dubey,DC,India,29,Right-handed,Right-arm leg spin,49000.0,
206,23,K. Yadav,DC,India,28,Left-handed,Left-arm unorthodox,196000.0,
207,,V. Ostwal,DC,India,20,Left-handed,Left-arm orthodox,19600.0,
208,94,A. Markram,SRH,South Africa,28,Right-handed,Right-arm off break,254800.0,Overseas; Captain
209,16,M. Agarwal,SRH,India,32,Right-handed,Right-arm off break,808500.0,
210,52,R. Tripathi,SRH,India,32,Right-handed,Right-arm medium,833000.0,
211,88,H. Brook,SRH,England,24,Right-handed,Right-arm medium,1298500.0,Overseas
212,14,S. Vyas,SRH,India,27,Right-handed,Right-arm leg break,19600.0,
213,1,A. Samad,SRH,India,21,Right-handed,Right-arm leg break,392000.0,
214,63,A. Singh,SRH,India,25,Right-handed,Right-arm off-break,19600.0,
215,6,G. Phillips,SRH,New Zealand,26,Right-handed,Right-arm off break,147000.0,Overseas
216,45,H. Klaasen,SRH,South Africa,31,Right-handed,Right-arm off spin,514500.0,Overseas
217,,U. Yadav,SRH,India,26,Right-handed,Right-arm off spin,24500.0,
218,4,A. Sharma,SRH,India,22,Left-handed,Left-arm orthodox,637000.0,
219,5,W. Sundar,SRH,India,23,Left-handed,Right-arm off break,857500.0,
220,70,M. Jansen,SRH,South Africa,23,Right-handed,Left-arm fast,411600.0,Overseas
221,8,N. Reddy,SRH,India,20,Right-handed,Right-arm medium-fast,19600.0,
